Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2017 [YR2017],2018 [YR2018],2020 [YR2020]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Somalia,SOM,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Africa,ZAF,5.13497018814087,5.59867000579834,5.64401006698608,6.17067003250122
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Sudan,SSD,1.04533004760742,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Spain,ESP,4.85608005523682,4.20552015304565,4.1794900894165,4.89540004730225
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sri Lanka,LKA,1.66177999973297,2.59316992759705,1.98781001567841,1.55792391300201
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Kitts and Nevis,KNA,2.94405817985535,3.15901589393616,3.03419542312622,3.10357975959778
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Lucia,LCA,3.4828999042511,3.63334321975708,3.33277988433838,3.62086009979248
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Martin (French part),MAF,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Vincent and the Grenadines,VCT,4.80839014053345,5.37974977493286,6.16111660003662,5.46375846862793
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sudan,SDN,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Suriname,SUR,..,5.45861291885376,4.92259359359741,4.58425712585449
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sweden,SWE,6.52268981933594,7.56883001327515,7.64084005355835,7.92561006546021
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Switzerland,CHE,4.80210018157959,5.01765012741089,4.93008995056152,5.27676010131836
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Syrian Arab Republic,SYR,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tajikistan,TJK,4.00675010681152,5.54471778869629,5.38508749008179,5.73725271224976
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tanzania,TZA,4.54169988632202,4.40038347244263,3.96343588829041,3.23097252845764
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Thailand,THA,3.5084400177002,3.46532154083252,3.19769406318665,3.15314173698425
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Timor-Leste,TLS,11.1065797805786,5.20052242279053,4.87440967559814,3.65287351608276
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Togo,TGO,2.95977997779846,3.76526999473572,4.09162998199463,4.09133672714233
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tonga,TON,..,5.05922508239746,4.96945524215698,4.86051654815674
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Trinidad and Tobago,TTO,4.21155452728271,3.52995157241821,3.64017295837402,4.2576699256897
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tunisia,TUN,5.96306991577148,..,..,7.26507568359375
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turkiye,TUR,3.7870135307312,4.32368993759155,4.29729986190796,4.03382015228271
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turkmenistan,TKM,..,..,..,3.76267004013062
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turks and Caicos Islands,TCA,..,2.47278213500977,2.86723041534424,2.42074680328369
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tuvalu,TUV,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uganda,UGA,1.72739994525909,2.25363993644714,2.13052010536194,2.57222175598145
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ukraine,UKR,7.39708471298218,5.41707992553711,5.3199200630188,5.38231992721558
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United Arab Emirates,ARE,..,..,..,3.98417997360229
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United Kingdom,GBR,5.69867992401123,5.45256996154785,5.20437002182007,5.43935012817383
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United States,USA,6.6945538520813,5.09296989440918,4.89502000808716,5.39998006820679
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uruguay,URY,..,4.41787004470825,4.60362005233765,4.54292011260986
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uzbekistan,UZB,..,5.0333194732666,4.83589315414429,4.94803667068481
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Vanuatu,VUT,..,4.5334300994873,8.60634708404541,2.17358994483948
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Venezuela, RB",VEN,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Viet Nam,VNM,4.04593992233276,3.41865682601929,3.14502310752869,3.21652889251709
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Virgin Islands (U.S.),VIR,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,West Bank and Gaza,PSE,6.19167995452881,4.72153997421265,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Yemen, Rep.",YEM,4.3922233581543,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Zambia,ZMB,3.41600441932678,3.72964000701904,4.73974990844727,3.94964814186096
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Zimbabwe,ZWE,1.54405999183655,5.81877994537354,2.05048990249634,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Africa Eastern and Southern,AFE,4.02403008937836,4.87887001037598,4.97993087768555,4.35243988037109
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Africa Western and Central,AFW,2.78499007225036,3.36085367202759,3.0234580039978,3.39874076843262
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Arab World,ARB,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Caribbean small states,CSS,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Central Europe and the Baltics,CEB,4.72375011444092,4.07755994796753,4.24356985092163,4.72159004211426
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Early-demographic dividend,EAR,3.89688181877136,3.93130993843079,3.68916285037994,4.09056520462036
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific,EAS,3.55966520309448,3.44198918342591,3.26196706295014,3.65287351608276
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific (excluding high income),EAP,3.55966520309448,3.44198918342591,3.17135858535767,3.21652889251709
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,3.55966520309448,3.44198918342591,3.17135858535767,3.21652889251709
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Euro area,EMU,5.45078992843628,4.82618498802186,4.80485987663269,5.13956999778748
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia,ECS,5.09588003158569,4.68990993499756,4.67515993118286,4.86263990402222
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia (excluding high income),ECA,3.84397292137146,4.01692497730255,4.095134973526,4.38912677764892
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,3.85746002197266,4.07755994796753,4.04709005355835,4.38901996612549
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,European Union,EUU,5.29786014556885,4.64757013320923,4.62343978881836,4.87656021118164
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Fragile and conflict affected situations,FCS,3.34388995170593,3.78976988792419,2.90131509304046,3.65287351608276
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Heavily indebted poor countries (HIPC),HPC,3.24651002883911,3.72964000701904,3.32295989990234,3.59794998168945
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,High income,HIC,5.10146999359131,4.7352249622345,4.67515993118286,4.87656021118164
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IBRD only,IBD,3.85746002197266,4.07755994796753,3.99742722511292,4.33204984664917
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA & IBRD total,IBT,3.55966520309448,3.78976988792419,3.71392011642456,4.09056520462036
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA blend,IDB,3.83175992965698,4.22055625915527,2.90131509304046,3.65287351608276
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA only,IDX,3.10314500331878,3.55532240867615,3.38626492023468,3.40915989875793
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA total,IDA,3.10314500331878,3.65234744548798,3.26730489730835,3.53101670742035
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Late-demographic dividend,LTE,4.18953990936279,4.25155448913574,4.13194847106934,4.51888704299927
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean,LCN,4.5422649383545,4.39752006530762,4.13945007324219,4.51769828796387
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean (excluding high income),LAC,4.76862001419068,4.39752006530762,4.13945007324219,4.51769828796387
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,4.48424005508423,4.39752006530762,4.13945007324219,4.51769828796387
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Least developed countries: UN classification,LDC,2.84086501598358,3.52892374992371,3.32295989990234,3.24270319938659
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Low & middle income,LMY,3.54706096649169,3.76526999473572,3.6420978307724,3.99414002895355
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Low income,LIC,2.68873500823975,3.34989738464356,3.38626492023468,3.57657194137574
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lower middle income,LMC,3.58718597888947,3.73344993591309,3.17833650112152,3.71980679035187
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa,MEA,..,4.22749495506287,4.16854500770569,6.1939172744751
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa (excluding high income),MNA,4.05070173740387,3.73344993591309,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,..,3.59650993347168,3.68561005592346,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle income,MIC,3.69457507133484,3.93130993843079,3.732675075531,4.12560415267944
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,North America,NAC,6.02546191215515,5.02646994590759,4.89199995994568,5.14396500587463
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Not classified,INX,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,OECD members,OED,5.41248989105225,4.96131992340088,4.93008995056152,5.37828016281128
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Other small states,OSS,5.81807994842529,4.96131992340088,4.87440967559814,4.85627222061157
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pacific island small states,PSS,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Post-demographic dividend,PST,5.38442993164063,4.91589999198914,4.91255497932434,5.0860800743103
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pre-demographic dividend,PRE,2.84803009033203,3.65234744548798,3.26730489730835,3.25443387031555
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Small states,SST,5.81807994842529,4.96131992340088,4.87440967559814,4.85627222061157
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Asia,SAS,3.377690076828,3.06104683876038,2.33216953277588,2.05718231201172
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Asia (IDA & IBRD),TSA,3.377690076828,3.06104683876038,2.33216953277588,2.05718231201172
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa,SSF,3.16229999065399,3.73654007911682,3.38626492023468,3.8029705286026
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,3.16229999065399,3.73654007911682,3.38626492023468,3.8029705286026
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,3.16229999065399,3.73654007911682,3.38626492023468,3.8029705286026
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Upper middle income,UMC,3.84397292137146,4.14810824394226,4.01092565059662,4.34224486351013
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,World,WLD,4.09432244300842,4.18488502502441,4.09162998199463,4.44135999679565
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 04/15/2025,,,,,,,
